processo_25,id
270,0019192-24.2025.8.16.0194
271,0152362-92.2025.8.16.0000
272,0152027-73.2025.8.16.0000
273,0151964-48.2025.8.16.0000
274,0152165-40.2025.8.16.0000
275,0152163-70.2025.8.16.0000
276,0151777-40.2025.8.16.0000
277,0152502-29.2025.8.16.0000
278,0152306-59.2025.8.16.0000
279,0138162-80.2025.8.16.0000
280,0152571-61.2025.8.16.0000
281,0005262-96.2025.8.16.0174
282,0149392-22.2025.8.16.0000
283,0001396-37.2025.8.16.0059
284,0122888-76.2025.8.16.0000
285,0006673-71.2025.8.16.0079
286,0025753-71.2025.8.16.0030
287,0003447-14.2025.8.16.0126
288,0011740-58.2025.8.16.0130
289,0014073-74.2025.8.16.0035
290,0014749-88.2025.8.16.0013
291,0011731-96.2025.8.16.0130
292,0014865-94.2025.8.16.0013
293,0011736-21.2025.8.16.0130
294,0015426-48.2025.8.16.0004
295,0030479-78.2025.8.16.0001
296,0011738-88.2025.8.16.0130
297,0004932-31.2025.8.16.0035
298,0007691-39.2025.8.16.9000
299,0007701-83.2025.8.16.9000
300,0007714-82.2025.8.16.9000
301,0007217-51.2024.8.16.0190
302,0072946-33.2025.8.16.0014
303,0116523-06.2025.8.16.0000
304,0134350-30.2025.8.16.0000
305,0000478-78.2024.8.16.0120
306,0129980-08.2025.8.16.0000
307,0003297-96.2023.8.16.0160
308,0113996-81.2025.8.16.0000
309,0143400-80.2025.8.16.0000
310,0000362-12.2024.8.16.0140
311,0149469-31.2025.8.16.0000
312,0150599-56.2025.8.16.0000
313,0115022-17.2025.8.16.0000
314,0004871-15.2024.8.16.0098
315,0151406-76.2025.8.16.0000
316,0000274-22.2023.8.16.0103
317,0005603-96.2023.8.16.0173
318,0093504-68.2025.8.16.0000
319,0125039-15.2025.8.16.0000
320,0151081-04.2025.8.16.0000
321,0004644-87.2019.8.16.0037
322,0150530-24.2025.8.16.0000
323,0150639-38.2025.8.16.0000
324,0151158-13.2025.8.16.0000
